Date,Steps,Calories,RestingHeartRate,TotalSleepMinutes
2025-11-19,7270,2578.0,51,347.0
2025-11-20,6484,2491.0,56,
2025-11-21,4346,2490.0,52,550.0
2025-11-22,400,2219.0,50,644.0
2025-11-23,826,2221.0,51,466.0
2025-11-24,5324,2439.0,53,348.0
2025-11-25,413,2216.0,53,315.0
2025-11-26,4650,2520.0,50,356.0
2025-11-27,4835,2516.0,54,273.0
2025-11-28,4115,2391.0,57,492.0
2025-11-29,1811,2521.0,54,520.0
2025-11-30,2825,2366.0,52,601.0
2025-12-01,6043,2726.0,49,387.0
2025-12-02,5139,2467.0,51,610.0
2025-12-03,7098,2526.0,48,297.0
2025-12-04,2333,2305.0,51,438.71666666666664
2025-12-05,1516,2239.0,48,499.0
2025-12-06,131,2213.0,50,
2025-12-07,1890,2261.0,49,602.0
2025-12-08,7039,2572.0,53,364.0
2025-12-09,5088,2870.0,49,393.0
2025-12-10,7681,2796.0,52,371.0
2025-12-11,12576,2910.0,50,524.0
2025-12-12,5707,2797.0,51,523.0
2025-12-13,2047,2252.0,50,566.0
2025-12-14,2578,2351.0,49,441.0
2025-12-15,7283,2499.0,54,360.0
2025-12-16,2151,2267.0,52,551.0
2025-12-17,5143,2487.0,54,365.0
2025-12-18,1111,719.0,53,375.0
